"Job title (original)","Job title (short)","Company","Country","State","City","Schedule type","Experience years","Seniority","Skills","Degrees","Software"
"Project Manager - Promotora Inmobiliaria","Project Manager","WeHunt","Spain","Valencian Community","Alicante","Unknown","5+","Manager","Project Management; Stakeholder Management; Negotiation; Leadership","Engineering","Microsoft Office"
"Project Key Account Manager -Eastern Spain","Account Manager","GROHE","Spain","Valencian Community","Unknown","Unknown","5+","Unknown","Strategic Thinking; Stakeholder Management","Engineering; Other","Salesforce; Google Workspace"
"Coordinador/a Lider técnico/a de proyectos IT/Software","Project Manager","Inetum Valencia","Spain","Valencian Community","Valencia","Unknown","5+","Senior","Project Management; Leadership; Stakeholder Management; Communication","",""
"Operational Excellence Manager - 1014784576","Operations Manager","Leadtech","Spain","Catalunya","Barcelona","Full-time","5+","Manager","Agile; Lean; Six Sigma; Project Management; Cross-functional Collaboration; Stakeholder Management; Communication; Analytical Thinking; Problem Solving; Risk Management; Process Optimization; KPI Definition; Data Analysis","Bachelor's Degree; Engineering; Business Administration; Computer Science","Jira; Confluence"
"Change manager","Unknown","NTT DATA","Spain","Valencian Community","Alicante","Unknown","Unknown","Unknown","Change Management; Stakeholder Management; Communication; Process Optimization","",""
"Project Manager","Project Manager","Vortex","Spain","Valencian Community","Silla","Full-time","3-5","Mid","Project Management; Communication; Problem Solving; Time Management; Training","Engineering",""
"Internship - Program Management 1 1","Project Manager","Celestica Valencia S.A.","Spain","Valencian Community","Valencia","Internship","0-3","Intern","Project Management; Communication; Problem Solving","","Excel; PowerPoint; Word"
"Senior SAP QM/PM Consultant","Consultant","Westernacher Consulting","Spain","Valencian Community","Valencia","Full-time","5+","Senior","Project Management; Stakeholder Management; Communication; Cross-functional Collaboration; Quality Assurance","",""
"Project Manager – Client integrations","Implementation / Onboarding Manager","Apex Group","Spain","Valencian Community","Valencia","Full-time","0-3","Unknown","Project Management; Stakeholder Management; Communication; Regulatory Compliance","Bachelor's Degree",""
